filing_date,trade_date,insider_name,title,trade_type,price,quantity,ownership,ownership_change,value
2024-06-03 18:31:26,2024-05-30,Levinson Arthur D,Dir,S - Sale,191.58,-75000.0,4415576.0,-2.0,-14368500.0
2024-05-17 18:30:33,2024-05-15,Kondo Chris,Principal Accounting Officer,S - Sale,190.4,-4999.0,29278.0,-15.0,-951785.0
2024-04-15 18:31:11,2024-04-11,Williams Jeffrey E,COO,S - Sale,172.22,-59162.0,489944.0,-11.0,-10188880.0
2024-04-15 18:30:24,2024-04-11,Maestri Luca,SVP CFO,S - Sale,174.12,-53194.0,107788.0,-33.0,-9261933.0
2024-04-03 18:33:14,2024-04-02,O'Brien Deirdre,SVP,S - Sale+OE,168.91,-54732.0,136572.0,-29.0,-9244782.0
2024-04-03 18:31:43,2024-04-01,Cook Timothy D,CEO,S - Sale+OE,169.33,-196410.0,3280180.0,-6.0,-33258614.0
2024-04-03 18:30:48,2024-04-02,Adams Katherine L.,SVP GC Secretary,S - Sale+OE,168.9,-54732.0,293393.0,-16.0,-9244235.0
2024-03-01 18:34:41,2024-02-29,Levinson Arthur D,Dir,S - Sale+OE,180.94,-100000.0,4490576.0,-2.0,-18094000.0
2023-12-01 18:32:18,2023-11-29,Kondo Chris,Principal Accounting Officer,S - Sale,192.0,-5513.0,29174.0,-16.0,-1058496.0
2023-11-20 18:31:21,2023-11-17,Adams Katherine L.,SVP GC Secretary,S - Sale,188.79,-123448.0,293266.0,-30.0,-23305748.0
2023-11-14 18:31:09,2023-11-10,Kondo Chris,Principal Accounting Officer,S - Sale,184.04,-4806.0,34687.0,-12.0,-884496.0
2023-10-10 18:31:19,2023-10-06,Williams Jeffrey E,COO,S - Sale,177.0,-69785.0,489817.0,-12.0,-12351945.0
2023-10-10 18:30:21,2023-10-06,Maestri Luca,SVP CFO,S - Sale,178.29,-63695.0,107661.0,-37.0,-11356182.0
2023-10-03 21:08:18,2023-10-03,O'Brien Deirdre,SVP,S - Sale+OE,172.11,-65536.0,136445.0,-32.0,-11279673.0
2023-10-03 21:04:27,2023-10-03,Cook Timothy D,CEO,S - Sale+OE,172.5,-240569.0,3280053.0,-7.0,-41498284.0
2023-10-03 21:02:35,2023-10-03,Adams Katherine L.,SVP GC Secretary,S - Sale+OE,172.09,-65536.0,416714.0,-14.0,-11278365.0
2023-08-08 18:30:28,2023-08-07,O'Brien Deirdre,SVP,S - Sale+OE,178.56,-15419.0,136445.0,-10.0,-2753217.0
2023-05-10 18:30:22,2023-05-08,Kondo Chris,Principal Accounting Officer,S - Sale,173.26,-4092.0,33946.0,-11.0,-708980.0
2023-04-17 18:31:10,2023-04-13,Maestri Luca,SVP CFO,S - Sale,165.25,-69996.0,107661.0,-39.0,-11566839.0
