filing_date,trade_date,insider_name,title,trade_type,price,quantity,ownership,ownership_change,value
2024-07-02 18:08:48,2024-06-28,Huang Jen Hsun,Pres CEO,S - Sale,123.91,-240000.0,865578395.0,0.0,-29738301.0
2024-06-28 16:20:45,2024-06-26,Huang Jen Hsun,Pres CEO,S - Sale,124.63,-240000.0,865818395.0,0.0,-29912143.0
2024-06-26 16:09:15,2024-06-24,Kress Colette,EVP CFO,S - Sale,122.15,-200000.0,5864542.0,-3.0,-24430514.0
2024-06-26 16:08:01,2024-06-24,Huang Jen Hsun,Pres CEO,S - Sale,122.13,-240000.0,866058395.0,0.0,-29310576.0
2024-06-21 20:12:50,2024-06-20,Huang Jen Hsun,Pres CEO,S - Sale,131.49,-240000.0,866298395.0,0.0,-31557278.0
2024-06-21 20:05:10,2024-06-21,Kress Colette,EVP CFO,S - Sale,126.99,-100000.0,6064542.0,-2.0,-12699088.0
2024-06-21 16:35:53,2024-06-21,Robertson Donald F Jr,Principal Accounting Officer,S - Sale,128.17,-4500.0,503878.0,-1.0,-576751.0
2024-06-20 16:23:06,2024-06-17,Huang Jen Hsun,Pres CEO,S - Sale,132.9,-240000.0,867047230.0,0.0,-31894854.0
2024-06-17 17:00:47,2024-06-13,Huang Jen Hsun,Pres CEO,S - Sale,129.94,-240000.0,867287230.0,0.0,-31184783.0
2024-06-13 17:52:15,2024-06-11,Stevens Mark A,Dir,S - Sale,124.14,-470000.0,39696720.0,-1.0,-58344021.0
2024-06-10 16:55:57,2024-06-07,Coxe Tench,Dir,S - Sale,1194.57,-100000.0,3657612.0,-3.0,-119457412.0
2024-06-07 17:15:17,2024-06-05,Shoquist Debora,EVP Operations,S - Sale,1222.83,-715.0,144223.0,0.0,-874324.0
2024-06-07 17:14:22,2024-06-05,Shoquist Debora,EVP Operations,S - Sale,1200.69,-10425.0,249533.0,-4.0,-12517143.0
2024-06-07 17:12:44,2024-06-05,Stevens Mark A,Dir,S - Sale,1199.06,-16670.0,4016672.0,0.0,-19988343.0
2024-06-05 17:02:53,2024-06-04,Shoquist Debora,EVP Operations,S - Sale,1151.59,-15000.0,259958.0,-5.0,-17273842.0
2024-06-05 17:02:25,2024-06-03,Shoquist Debora,EVP Operations,S - Sale,1136.41,-15000.0,274958.0,-5.0,-17046175.0
2024-06-05 17:01:29,2024-06-03,Stevens Mark A,Dir,S - Sale,1139.2,-8900.0,4033342.0,0.0,-10138892.0
2024-05-31 16:05:07,2024-05-29,Stevens Mark A,Dir,S - Sale,1141.43,-26939.0,4042242.0,-1.0,-30748961.0
2024-05-31 16:03:46,2024-05-29,Hudson Dawn E,Dir,S - Sale,1150.03,-5000.0,45500.0,-10.0,-5750150.0
2024-05-30 16:29:43,2024-05-28,McCaffery Michael G,Dir,S - Sale,1147.34,-57.0,9630.0,-1.0,-65398.0
2024-05-30 16:29:02,2024-05-28,McCaffery Michael G,Dir,S - Sale,1122.91,-3879.0,9687.0,-29.0,-4355785.0
2024-05-30 16:27:19,2024-05-28,Seawell A Brooke,Dir,S - Sale,1117.72,-1438.0,500650.0,0.0,-1607281.0
2024-05-29 16:13:12,2024-05-24,Hudson Dawn E,Dir,S - Sale,1079.41,-20000.0,50500.0,-28.0,-21588245.0
2024-05-29 16:12:25,2024-05-24,Dabiri John,Dir,S - Sale,1043.95,-198.0,1857.0,-10.0,-206702.0
2024-04-09 16:30:49,2024-04-05,Stevens Mark A,Dir,S - Sale,879.97,-22700.0,4069181.0,-1.0,-19975240.0
2024-04-03 16:27:12,2024-04-02,Perry Mark L,Dir,S - Sale,887.89,-7000.0,131612.0,-5.0,-6215259.0
2024-04-01 17:03:06,2024-03-28,Stevens Mark A,Dir,S - Sale,905.65,-11000.0,4091881.0,0.0,-9962150.0
2024-03-27 17:06:29,2024-03-25,Dabiri John,Dir,S - Sale,940.0,-128.0,2055.0,-6.0,-120320.0
2024-03-26 18:38:49,2024-03-22,Robertson Donald F Jr,Principal Accounting Officer,S - Sale,911.62,-450.0,49815.0,-1.0,-410229.0
2024-03-11 16:55:58,2024-03-07,Stevens Mark A,Dir,S - Sale,919.33,-21750.0,4102881.0,-1.0,-19995508.0
2024-03-06 19:53:43,2024-03-05,Drell Persis,Dir,S - Sale,845.13,-5000.0,28828.0,-15.0,-4225640.0
