filing_date,trade_date,ticker,company_name,industry,insiders,price,quantity,ownership,ownership_change,value
2024-07-01 17:09:27,2024-06-21,TLYS,"Tilly'S, Inc.",Apparel & Accessory Stores,2,5.48,304559,8022704,4,1668079
2024-07-01 10:22:12,2024-06-27,DHIL,Diamond Hill Investment Group Inc,Investment Advice,3,143.13,1450,77457,2,207541
2024-07-01 06:30:02,2024-06-27,STTK,"Shattuck Labs, Inc.",Pharmaceutical Preparations,2,3.63,22816,2883340,1,82779
2024-06-28 18:39:55,2024-06-28,TXO,"Txo Partners, L.P.",Crude Petroleum & Natural Gas,2,20.0,978000,8500215,13,19560000
2024-06-28 09:26:04,2024-06-26,FRD,Friedman Industries Inc,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",3,15.93,14000,195419,8,222983
2024-06-27 14:21:20,2024-05-29,VCRDX,Versus Capital Infrastructure Income Fund,Closed-End Funds,3,10.22,2788351,5598351,99,28499970
2024-06-26 16:39:40,2024-06-24,NXDT,Nexpoint Diversified Real Estate Trust,Real Estate Investment Trusts,3,5.13,205942,8077677,3,1056877
2024-06-26 08:00:03,2024-06-25,INMB,"Inmune Bio, Inc.","Biological Products, (No Diagnostic Substances)",4,8.26,85082,4389314,2,702632
2024-06-24 16:30:15,2024-06-21,UBCP,United Bancorp Inc /oh/,State Commercial Banks,2,12.33,5421,253420,2,66841
2024-06-24 16:21:52,2024-06-24,SAIC,Science Applications International Corp,Computer Integrated Systems Design,3,121.95,6010,120669,5,732891
2024-06-24 16:03:45,2024-06-20,PSEC,Prospect Capital Corp,Closed-End Funds,2,5.55,802231,66100376,1,4452402
2024-06-21 20:29:09,2024-06-20,VRE,"Veris Residential, Inc.",Real Estate Investment Trusts,2,14.32,45000,699628,7,644447
2024-06-21 16:32:21,2024-04-08,CRMT,Americas Carmart Inc,Auto Dealers & Gasoline Stations,2,58.03,51689,839251,7,2999762
2024-06-20 07:30:00,2024-06-17,BHVN,Biohaven Ltd.,Pharmaceutical Preparations,4,40.15,436355,11169283,4,17519468
2024-06-18 18:34:59,2024-06-14,DENN,Denny'S Corp,Eating Places,2,6.52,22000,198363,12,143417
2024-06-18 17:19:49,2024-06-17,SPMC,"Sound Point Meridian Capital, Inc.",Closed-End Funds,3,20.0,105002,105002,N\A,2100040
2024-06-18 17:08:54,2024-06-14,PRTH,"Priority Technology Holdings, Inc.",Business Services,2,3.57,608187,46879228,1,2170546
2024-06-18 17:01:10,2024-06-17,TPB,"Turning Point Brands, Inc.",Tobacco Products,2,31.5,6260,52099,14,197170
2024-06-18 14:47:45,2024-06-18,FTHY,First Trust High Yield Opportunities 2027 Term Fund,Closed-End Funds,4,14.13,57100,135100,73,807010
2024-06-18 10:32:47,2024-06-17,SRBK,"Sr Bancorp, Inc.","Savings Institutions, Not Federally Chartered",2,9.16,25000,166409,18,228971
2024-06-18 10:03:00,2024-06-17,DMLP,"Dorchester Minerals, L.P.",Crude Petroleum & Natural Gas,3,31.29,15230,244685,7,476593
2024-06-17 21:44:01,2024-06-13,OUST,"Ouster, Inc.",General Industrial Machinery & Equipment,3,11.55,54000,1405024,4,623955
2024-06-17 20:48:20,2024-06-13,EGBN,Eagle Bancorp Inc,State Commercial Banks,3,18.4,8332,392623,2,153328
2024-06-17 18:16:15,2024-06-14,BGSF,"Bgsf, Inc.",Help Supply Services,2,6.76,21829,147439,17,147509
2024-06-17 16:05:09,2024-06-14,BYON,"Beyond, Inc.",Catalog & Mail-Order Houses,2,14.87,40095,333152,14,596238
2024-06-17 15:23:47,2024-06-14,GRNT,"Granite Ridge Resources, Inc.",Crude Petroleum & Natural Gas,4,6.13,38200,1091671,4,234150
2024-06-17 11:03:38,2024-06-14,PVBC,"Provident Bancorp, Inc. /Md/","Savings Institutions, Not Federally Chartered",2,9.81,15000,29486,104,147215
2024-06-17 10:39:40,2024-06-17,NEWT,"Newtekone, Inc.",National Commercial Banks,2,13.91,12000,1152355,1,166901
2024-06-17 10:20:11,2024-06-14,GAM,General American Investors Co Inc,Closed-End Funds,2,24.92,10665,391307,3,265770
2024-06-14 19:52:29,2024-06-12,OPAD,Offerpad Solutions Inc.,Real Estate Agents & Managers (For Others),2,5.09,109558,4248582,3,558075
2024-06-14 18:07:59,2024-06-14,RGEN,Repligen Corp,"Biological Products, (No Diagnostic Substances)",3,124.71,4815,174469,3,600476
2024-06-14 17:36:54,2024-04-26,HTLD,Heartland Express Inc,Trucking (No Local),3,10.16,474788,62248525,1,4824403
2024-06-14 16:15:18,2024-06-14,CTOS,"Custom Truck One Source, Inc.",Equipment Rental & Leasing,4,4.07,92000,1180991,8,374087
2024-06-14 14:40:26,2024-06-13,RHP,"Ryman Hospitality Properties, Inc.",Real Estate Investment Trusts,2,103.83,23772,1415222,2,2468254
2024-06-14 14:26:54,2024-06-13,NFBK,"Northfield Bancorp, Inc.","Savings Institution, Federally Chartered",7,7.88,72561,1632847,5,571522
